No,모델 시리얼(*),주소,좌표 구분코드,위도,경도,비고
59,V02Q1940437,서울특별시 강동구 암사동 413-2,W84,37.554597620,127.139827887,
60,V02Q1940376,서울특별시 강동구 천호동 221-24,W84,37.545304506,127.136675035,
61,V02Q1940306,서울특별시 강동구 천호동 357-29,W84,37.542448508,127.125705412,
62,V02Q1940349,서울특별시 강동구 천호동 555-4,W84,37.539768171,127.129657973,
63,V02Q1940507,서울특별시 강동구 성내동 582,W84,37.531277474,127.123271252,
64,V02Q1940430,서울특별시 강동구 성내동 40-21,W84,37.535815801,127.124685914,
65,V02Q1940417,서울특별시 강동구 성내동 450-25,W84,37.525959229,127.132493340,
66,V02Q1940478,서울특별시 강동구 길동 102,W84,37.539563459,127.145933459,
67,V02Q1940505,서울특별시 강동구 둔촌동 229-2,W84,37.517230482,127.143823891,
68,V02Q1940410,서울특별시 강동구 둔촌동 61-17,W84,37.533218949,127.141795437,
69,V02Q1940359,서울특별시 강동구 명일동 260-1,W84,37.546517030,127.147309969,
70,V02Q1940354,서울특별시 강동구 성내동 150-9,W84,37.534717201,127.129979727,
71,V02Q1940350,서울특별시 강동구 고덕동 313-1,W84,37.554811287,127.150186225,
72,V02Q1940851,서울특별시 강동구 암사동 501-4,W84,37.550390853,127.128292179,
73,V02Q1940770,서울특별시 강동구 암사동 496-25,W84,37.549876301,127.129477775,
74,V02Q1940142,서울특별시 강동구 암사동 548,W84,37.550545015,127.127872534,
75,V02Q1940372,서울특별시 강동구 암사동 508,W84,37.554066866,127.127812567,
76,V02Q1940271,서울특별시 강동구 강일동 693,W84,37.564778377,127.178040052,
77,V02Q1940434,서울특별시 강동구 둔촌동 29-16,W84,37.532199061,127.148090456,
78,V02Q1940798,서울특별시 강동구 천호동 76-2,W84,37.545037857,127.136812004,
79,V02Q1940831,서울특별시 강동구 암사동 81-1,W84,37.56700001,127.136812731,
80,OC3CL200090,서울특별시 강동구 둔촌동 517-4,W84,37.528714489,127.137388903,
81,OC3CL200091,서울특별시 강동구 상일동 283-6,W84,37.548559121,127.170906985,
82,OC3CL200092,서울특별시 강동구 암사동 265-7,W84,37.55888187,127.135606683,
83,OC3CL200093,서울특별시 강동구 천호동 528-1,W84,37.538219655,127.134580994,
84,OC3CL200094,서울특별시 강동구 강일동 348-1,W84,37.569133887,127.178765851,
85,OC3CL200080,서울특별시 강동구 고덕동 317-1,W84,37.5566477,127.144870457,
86,OC3CL200095,서울특별시 강동구 길동 141-5,W84,37.536623021,127.146469568,
87,OC3CL200097,서울특별시 강동구 길동 338-9,W84,37.542373602,127.143741102,
88,OC3CL200098,서울특별시 강동구 상일동 166,W84,37.549619644,127.157931363,
89,OC3CL200099,서울특별시 강동구 성내동 519-12,W84,37.530624488,127.128407271,
90,OC3CL200101,서울특별시 강동구 천호동 1-2,W84,37.550486694,127.139581625,
91,OC3CL200102,서울특별시 강동구 천호동 290-39,W84,37.547423335,127.131227628,
92,OC3CL200103,서울특별시 강동구 길동 157-10,W84,37.540494144,127.148207117,
93,OC3CL200105,서울특별시 강동구 상일동 325-1,W84,37.547712275,127.172682389,
94,OC3CL200106,서울특별시 강동구 성내동 500,W84,37.533122454,127.132393112,
95,OC3CL200107,서울특별시 강동구 천호동 233-48,W84,37.548256407,127.136824448,
96,OC3CL200081,서울특별시 강동구 천호동 361,W84,37.545147142,127.12755127,
97,OC3CL200108,서울특별시 강동구 고덕동 289-4,W84,37.56062598,127.157430977,
98,OC3CL200060,서울특별시 강동구 둔촌동 산 28-1,W84,37.522210234,127.145519881,
99,OC3CL200083,서울특별시 강동구 둔촌동 599,W84,37.531829328,127.149670745,
100,OC3CL200117,서울특별시 강동구 상일동 507,W84,37.550873724,127.177576272,
101,OC3CL200110,서울특별시 강동구 암사동 458,W84,37.554657278,127.132859102,
102,OC3CL200084,서울특별시 강동구 천호동 326-18,W84,37.545889848,127.123709975,
103,OC3CL200114,서울특별시 강동구 천호동 316-4,W84,37.547990969,127.126141848,
104,OC3CL200062,서울특별시 강동구 천호동 463-38,W84,37.541946399,127.12158753,
105,OC3CL200017,서울특별시 강동구 성내동 448-8,W84,37.524110749,127.128668752,
106,OC3CL200072,서울특별시 강동구 암사동 139-2,W84,37.559675184,127.131291798,
107,OC3CL200074,서울특별시 강동구 천호동 42,W84,37.546267526,127.143017876,
108,OC3CL200070,서울특별시 강동구 성내동 459-6,W84,37.527202702,127.12166202,
109,OC3CL200205,서울특별시 강동구 성내동 19-1,W84,37.536777281,127.12873612,
110,OC3CL200171,서울특별시 강동구 양재대로 1716,W84,37.558698919,127.144334235,
111,OC3CL200131,서울특별시 강동구 강일동 601-1,W84,37.563207884,127.172348516,
112,OC3CL200123,서울특별시 강동구 성내동 449-15,W84,37.521954252,127.133721047,
113,OC3CL200071,서울특별시 강동구 고덕동 197-4,W84,37.559413432,127.170816792,
114,OC3CL200158,서울특별시  강동구 둔촌동 180-2 ,W84,37.519393591,127.139318186,
115,OC3CL210108,서울특별시 강동구 명일동 312-250,W84,37.551219,127.142892,
116,OC3CL210110,서울특별시 강동구 명일동 322-1,W84,37.551007,127.141546,
117,OC3CL210101,서울특별시 강동구 암사동 421-98,W84,37.550864,127.140121,
118,OC3CL210099,서울특별시 강동구 암사동 425-181,W84,37.550809,127.138698,
119,OC3CL210100,서울특별시 강동구 암사동 477-22,W84,37.550091,127.137133,
120,OC3CL210112,서울특별시 강동구 암사동 487-37,W84,37.549388,127.136401,
121,OC3CL210113,서울특별시 강동구 암사동 487-30,W84,37.548469,127.135694,
122,OC3CL210109,서울특별시 강동구 천호동 293-13,W84,37.546624,127.134161,
123,OC3CL210106,서울특별시 강동구 천호동 294-23,W84,37.545723,127.133548,
124,OC3CL210105,서울특별시 강동구 천호동 297-2,W84,37.545095,127.133058,
125,OC3CL210104,서울특별시 강동구 천호동 280-15,W84,37.543174,127.131691,
126,OC3CL210103,서울특별시 강동구 천호동 397-17,W84,37.541053,127.129818,
127,OC3CL210114,서울특별시 강동구 성내동 382-6,W84,37.5338967,127.133699,
128,OC3CL210102,서울특별시 강동구 성내동 407,W84,37.532012,127.132767,
129,OC3CL210111,서울특별시 강동구 성내동 409-1,W84,37.530736,127.132165,
130,OC3CL210107,서울특별시 강동구 성내동 422,W84,37.528351,127.130989,
131,OC3CL210115,서울특별시 강동구 성내동 435-12,W84,37.525641,127.129665,
132,V02Q1940330,서울특별시 강북구 미아동 791-985,W84,37.627788213,127.019350684,
133,V02Q1940160,서울특별시 강북구 수유동 279-306,W84,37.647918746,127.012456138,
134,V02Q1940314,서울특별시 강북구 미아동 679-12,W84,37.618561243,127.022803822,
135,V02Q1940207,서울특별시 강북구 미아동 1353,W84,37.617077135,127.015272460,
136,V02Q1940431,서울특별시 강북구 번동 454-116,W84,37.636389450,127.033963592,
137,V02Q1940394,서울특별시 강북구 번동 253,W84,37.632133192,127.038099294,
138,V02Q1940414,서울특별시 강북구 번동 241,W84,37.625965579,127.046177842,
139,V02Q1940386,서울특별시 강북구 미아동 87-115,W84,37.615898092,127.034160265,
140,V02Q1940429,서울특별시 강북구 수유동 553-61,W84,37.642010944,127.011032768,
141,V02Q1940378,서울특별시 강북구 수유동 472-564,W84,37.631155545,127.016796019,
142,V02Q1940300,서울특별시 강북구 수유동 605-207,W84,37.643785116,127.019451660,
143,V02Q1940409,서울특별시 강북구 수유동 142,W84,37.638094909,127.023769840,
144,V02Q1940137,서울특별시 강북구 미아동 195-1,W84,37.627319486,127.027150570,
145,V02Q1940107,서울특별시 강북구 미아동 1354-15,W84,37.620774122,127.012353218,
146,V02Q1940340,서울특별시 강북구 미아동 229-22,W84,37.625555196,127.027215038,
147,V02Q1940253,서울특별시 강북구 우이동 80,W84,37.653908316,127.011201895,
148,V02Q1940949,서울특별시 강북구 수유동 55-7,W84,37.630375704,127.022627851,
149,V02Q1940746,서울특별시 강북구 수유동 55-7,W84,37.632189703,127.021742016,
150,V02Q1940448,서울특별시 강북구 수유동 54-5,W84,37.630759384,127.023550324,
151,V02Q1940477,서울특별시 강북구 우이동 165-22,W84,37.662020800,127.011085788,
152,V02Q1940823,서울특별시 강북구 수유동 605-613,W84,37.635061606,127.018162863,
153,V02Q1940763,서울특별시 강북구 번동 148-383,W84,37.626592071,127.034623328,
154,V02Q1940712,서울특별시 강북구 수유동 568-100,W84,37.647922785,127.011898041,
155,OC3CL200134,서울특별시 강북구 번동 417-58,W84,37.63736615,127.029152562,
156,OC3CL200066,서울특별시 강북구 미아동 754-63,W84,37.623005664,127.021891517,
157,OC3CL200133,서울특별시 강북구 미아동 61-17,W84,37.6146516,127.028974,
158,OC3CL200132,서울특별시 강북구 수유동 535-228,W84,37.64400709,127.00394086,
159,OC3CL200130,서울특별시 강북구 미아동 791-1549,W84,37.625232955,127.013859622,
160,OC3CL200129,서울특별시 강북구 번동 248,W84,37.623319683,127.046057943,
161,OC3CL200136,서울특별시 강북구 수유동 719-2,W84,37.647179302,127.024618696,
162,OC3CL200104,서울특별시 강북구 수유동 32-2,W84,37.640616785,127.021636992,
163,OC3CL200100,서울특별시  강북구 번동 95-7,W84,37.619993989,127.043786358,
164,OC3DL2200005,서울특별시 강북구 번동 148-232,W84,37.62550525,127.03692932,
165,OC3DL2200006,서울특별시 강북구 미아동 1-46,W84,37.61892126,127.03617895,
166,V02Q1940114,서울특별시 강서구 가양동 146-32,W84,37.569296789,126.842732481,
167,V02Q1940066,서울특별시 강서구 가양동 36-3,W84,37.567219313,126.847516511,
168,V02Q1940130,서울특별시 강서구 가양동 1484,W84,37.561248775,126.859664345,
169,V02Q1940163,서울특별시 강서구 공항동 60-10,W84,37.559388276,126.809855638,
170,V02Q1940104,서울특별시 강서구 등촌동 653-8,W84,37.555155624,126.858558005,
171,V02Q1940180,서울특별시 강서구 등촌동 산 89-3,W84,37.538037714,126.862833631,
172,V02Q1940166,서울특별시 강서구 등촌동 659,W84,37.557852230,126.849018010,
173,V02Q1940124,서울특별시 강서구 내발산동 686-4,W84,37.553382259,126.832575772,
174,V02Q1940105,서울특별시 강서구 방화동 281-20,W84,37.572875749,126.815190398,
175,V02Q1940125,서울특별시 강서구 방화동 620-32,W84,37.562679221,126.808624478,
176,V02Q1940126,서울특별시 강서구 방화동 318-2,W84,37.578362144,126.815908769,
177,V02Q1940069,서울특별시 강서구 염창동 276-9,W84,37.549804868,126.870225166,
178,V02Q1940062,서울특별시 강서구 화곡동 산 60-1,W84,37.548823986,126.843475769,
179,V02Q1940179,서울특별시 강서구 화곡동 46-156,W84,37.5438817,126.84786,
180,V02Q1940162,서울특별시 강서구 화곡동 355-48,W84,37.530599306,126.840569244,
181,V02Q1940182,서울특별시 강서구 화곡동 851-20,W84,37.532378944,126.855337105,
182,V02Q1940167,서울특별시 강서구 화곡동 1089-17,W84,37.544819726,126.835843451,
183,V02Q1940173,서울특별시 강서구 화곡동 943-7,W84,37.534009732,126.861066828,
184,V02Q1940187,서울특별시 강서구 화곡동 1117,W84,37.552957569,126.851359963,
185,V02Q1940193,서울특별시 강서구 화곡동 391-52,W84,37.531106400,126.849942850,
186,V02Q1940113,서울특별시 강서구 염창동 208-2,W84,37.554503973,126.874175440,
187,V02Q1940078,서울특별시 강서구 화곡동 1064,W84,37.542546213,126.840322682,
188,V02Q1940189,서울특별시 강서구 화곡동 산 41-7,W84,37.541750463,126.851591698,
189,V02Q1940346,서울특별시 강서구 화곡동 361-1,W84,37.534383493,126.837996520,
190,V02Q1940853,서울특별시 강서구 화곡동 668-10,W84,37.535219493,126.839853581,
191,V02Q1940093,서울특별시 강서구 방화동 134-20,W84,37.577840846,126.818892025,
192,V02Q1940103,서울특별시 강서구 방화동 산 103-2,W84,37.579042710,126.818492233,
193,V02Q1940181,서울특별시 강서구 화곡동 947-4,W84,37.527577084,126.843082012,
194,V02Q1940072,서울특별시 강서구 화곡동 999-6,W84,37.551836444,126.845860744,
195,V02Q1940782,서울특별시 강서구 화곡동 1019,W84,37.544678280,126.835104168,
196,V02Q1940824,서울특별시 강서구 방화동 17-4,W84,37.584812556,126.821586805,
197,OC3CL200177,서울특별시 강서구 개화동 246-16,W84,37.588700837,126.802493969,
198,OC3CL200082,서울특별시 강서구 개화동 418-194,W84,37.580134544,126.799983213,
199,OC3CL200178,서울특별시 강서구 마곡동 731-199,W84,37.567592865,126.818934397,
200,OC3CL200179,서울특별시 강서구 마곡동 749-4,W84,37.557129053,126.82259039,
201,OC3CL200180,서울특별시 강서구 마곡동 770-7,W84,37.564214678,126.833869037,
202,OC3CL200181,서울특별시 강서구 가양2동 1481,W84,37.564744809,126.853430597,
203,OC3CL200182,서울특별시 강서구 염창동 240-52,W84,37.557347087,126.865903402,
204,OC3CL200183,서울특별시 강서구 염창동 53-1,W84,37.553510482,126.871121109,
205,OC3CL200067,서울특별시 강서구 등촌동 366-70,W84,37.548032567999996,126.860633351,
206,OC3CL200184,서울특별시 강서구 등촌동 522-1,W84,37.547362688,126.861349432,
207,OC3CL200087,서울특별시 강서구 마곡동 728-356,W84,37.555468811,126.826613288,
208,OC3CL200185,서울특별시 강서구 염창동 263(105동),W84,37.548660939,126.874031644,
209,OC3CL200045,서울특별시 강서구 방화동 830-9,W84,37.57782669,126.81333722,
210,OC3CL200025,서울특별시 강서구 마곡동 727-709,W84,37.560034405,126.825875874,
211,OC3CL200026,서울특별시 강서구 마곡동 367-11,W84,37.566680943,126.82612171,
212,OC3CL200027,서울특별시 강서구 마곡동 727-1214,W84,37.559042184,126.836083293,
213,OC3CL200046,서울특별시 강서구 등촌3동 78-7,W84,37.560535763,126.854706781,
214,OC3CL200186,서울특별시 강서구 마곡동 9,W84,37.572451232,126.837170304,
215,OC3CL200172,서울특별시 강서구 화곡동 340-54,W84,37.532734929,126.846310573,
216,OC3CL200187,서울특별시 강서구 방화동 278-31,W84,37.573184977,126.816474219,
217,OC3CL200188,서울특별시 강서구 방화동 247-194,W84,37.56735274,126.816374972,
218,V02Q1940425,서울특별시 관악구 신림동 1468-1,W84,37.486421000,126.933053281,
219,V02Q1940561,서울특별시 관악구 신림동 505,W84,37.485193189,126.918737044,
220,V02Q1940440,서울특별시 관악구 신림동 1602-3,W84,37.481691684,126.927560971,
221,V02Q1940538,서울특별시 관악구 봉천동 975-24,W84,37.486277682,126.936065990,
222,V02Q1940674,서울특별시 관악구 봉천동 1636-2,W84,37.474808425,126.965260142,
223,V02Q1940533,서울특별시 관악구 신림동 562,W84,37.483057586,126.907968763,
224,V02Q1940262,서울특별시 관악구 봉천동 872-23,W84,37.483428028,126.949460805,
225,V02Q1940452,서울특별시 관악구 봉천동 1560-63,W84,37.478892525,126.944462740,
226,V02Q1940272,서울특별시 관악구 봉천동 1693-56,W84,37.478839542,126.961244584,
227,V02Q1940458,서울특별시 관악구 낙성대동 1617-5,W84,37.47633208,126.95621212,
228,V02Q1940532,서울특별시 관악구 신림동 646-449,W84,37.470727878,126.921795051,
229,V02Q1940683,서울특별시 관악구 신림동 1736-12,W84,37.462118231,126.919158834,
230,V02Q1940663,서울특별시 관악구 남현동 1086-1,W84,37.474747271,126.977785908,
231,V02Q1940552,서울특별시 관악구 신림동 808-169,W84,37.476394330,126.915669565,
232,V02Q1940444,서울특별시 관악구 봉천동 661-38,W84,37.488600304,126.932640904,
233,V02Q1940557,서울특별시 관악구 신림동 808-502,W84,37.469277115,126.931636320,
234,V02Q1940512,서울특별시 관악구 신림동 408-35,W84,37.475561680,126.934891149,
235,V02Q1940445,서울특별시 관악구 신림동 90-67,W84,37.480392072,126.932355178,
236,V02Q1940657,서울특별시 관악구 봉천동 823,W84,37.489760672,126.947832361,
237,V02Q1940625,서울특별시 관악구 봉천동 801,W84,37.490698824,126.958704722,
238,V02Q1940465,서울특별시 관악구 신림동 244-17,W84,37.468519568,126.940047171,
239,V02Q1940468,서울특별시 관악구 봉천동 1706,W84,37.484329670,126.959457614,
240,V02Q1940446,서울특별시 관악구 봉천동 980-1,W84,37.480432106,126.953267798,
241,V02Q1940260,서울특별시 관악구 신림동 251-241,W84,37.464852583,126.939899246,
242,V02Q1940517,서울특별시 관악구 신원로 3다길 1,W84,37.482486215,126.926497060,
243,V02Q1940658,서울특별시 관악구 신림동 1586-1,W84,37.483557257,126.925669500,
244,V02Q1940457,서울특별시 관악구 신림동 산 156-9,W84,37.473194847,126.931912005,
245,V02Q1940462,서울특별시 관악구 신림동 1469-7,W84,37.489379779,126.922369606,
246,V02Q1940548,서울특별시 관악구 봉천동 산 146-28,W84,37.491245834,126.930777034,
247,V02Q1940493,서울특별시 관악구 봉천동 622-1,W84,37.487065431,126.942038141,
248,V02Q1940694,서울특별시 관악구 봉천동 981-9,W84,37.480240807,126.942708134,
249,V02Q1940558,서울특별시 관악구 봉천동 981-4,W84,37.479704346,126.947473749,
250,V02Q1940547,서울특별시 관악구 봉천동 1693-42,W84,37.477791485,126.955297390,
251,V02Q1940672,서울특별시 관악구 신림동 1469-4,W84,37.487974664,126.925810645,
252,V02Q1940549,서울특별시 관악구 신림동 598-8,W84,37.475637555,126.922158721,
253,V02Q1940704,서울특별시 관악구 신림동 676-30,W84,37.463273403,126.918075657,
254,V02Q1940689,서울특별시 관악구 봉천동 981-13,W84,37.483345261,126.937798795,
255,V02Q1940671,서울특별시 관악구 신림동 1714,W84,37.463770351,126.925690486,
256,V02Q1940725,서울특별시 관악구 신림동 1676-17,W84,37.479821352,126.902365272,
257,V02Q1940678,서울특별시 관악구 봉천동 979-7,W84,37.482581213,126.942046040,
258,V02Q1940681,서울특별시 관악구 남현동 1071-41,W84,37.475596249,126.973598246,
259,V02Q1940669,서울특별시 관악구 남현동 1060-1,W84,37.476427401,126.980135141,
260,V02Q1940537,서울특별시 관악구 봉천동 1693-29,W84,37.475646812,126.952494018,
261,V02Q1940633,서울특별시 관악구 신림동 237-30,W84,37.470511388,126.940959642,
262,V02Q1940589,서울특별시 관악구 신림동 408-2,W84,37.476475075,126.936467643,
263,V02Q1940680,서울특별시 관악구 봉천동 970-21,W84,37.489325720,126.928862955,
264,V02Q1940667,서울특별시 관악구 봉천동 728-1,W84,37.492658351,126.926973888,
265,V02Q1940703,서울특별시 관악구 신림동 1475-55,W84,37.480634340,126.914581853,
266,V02Q1940701,서울특별시 관악구 신림동 808-173,W84,37.473738394,126.917660902,
267,V02Q1940676,서울특별시 관악구 신림동 산 102-9,W84,37.458885296,126.922519447,
268,V02Q1940682,서울특별시 관악구 신림동 산 87-17,W84,37.461887259,126.924455400,
269,V02Q1940269,서울특별시 관악구 신림동 1513-7,W84,37.471740618,126.933155701,
270,V02Q1940645,서울특별시 관악구 신림동 320,W84,37.461539009,126.930247531,
271,V02Q1940550,서울특별시 관악구 봉천동 458-42,W84,37.486348063,126.951494059,
272,V02Q1940673,서울특별시 관악구 신림동 495,W84,37.487996202,126.918237414,
273,V02Q1940677,서울특별시 관악구 신림동 1648-3,W84,37.484587461,126.907034844,
274,V02Q1940510,서울특별시 관악구 봉천동 1718-10,W84,37.492671311,126.945268507,
275,V02Q1940555,서울특별시 관악구 봉천동 738-360,W84,37.485477639,126.947493445,
276,V02Q1940660,서울특별시 관악구 신림동 1469-9,W84,37.487129427,126.923453033,
277,V02Q1940666,서울특별시 관악구 봉천동 178-178,W84,37.470471522,126.967954286,
278,V02Q1940685,서울특별시 관악구 신림동 808-266,W84,37.478396019,126.916261896,
279,V02Q1940652,서울특별시 관악구 신림동 1675-8,W84,37.483708428,126.902520271,
280,V02Q1940591,서울시 관악구 성현동 1704,W84,37.478910442,126.949252464,
281,V02Q1940560,서울시 관악구 봉천동 1573-12,W84,37.492477025,126.956310667,
282,V02Q1940675,서울특별시 관악구 봉천동 1693-13,W84,37.478276789,126.939572865,
283,V02Q1940692,서울특별시 관악구 봉천동 635-383,W84,37.490492222,126.941430088,
284,V02Q1940662,서울특별시 관악구 봉천동 850-3,W84,37.475726437,126.942535256,
285,V02Q1940691,서울특별시 관악구 신림동 1698,W84,37.466253246,126.930740417,
286,V02Q1940884,서울특별시 관악구 신림동 1439-3,W84,37.487397413,126.927124363,
287,OC3CL200189,서울특별시 관악구 신림동 1627-11,W84,37.479065955,126.9265235,
288,OC3CL200173,서울특별시 관악구 조원동 537-33,W84,37.482486765,126.914154559,
289,OC3CL200028,서울특별시 관악구 봉천동 1603-4,W84,37.479154221,126.953709724,
290,V02Q2300001,서울특별시 관악구 신림동 289-3,W84,37.47129464,126.9341757,
291,V02Q2300002,서울특별시 관악구 신림동 815-2,W84,37.47088656,126.93910684,
292,V02Q1941000,서울특별시 관악구 신림동길 14,W84,37.4871672,126.9259298,
293,V02Q1940202,서울특별시 광진구 중곡동 665,W84,37.560119378,127.079537928,
294,V02Q1940280,서울특별시 광진구 중곡동 265-8,W84,37.561975588,127.085032552,
295,V02Q1940200,서울특별시 광진구 중곡동 695,W84,37.568501968,127.080104482,
296,V02Q1940209,서울특별시 광진구 중곡동 452-1,W84,37.559024868,127.090120711,
297,V02Q1940305,서울특별시 광진구 능동 156-2,W84,37.553149621,127.080543809,
298,V02Q1940327,서울특별시 광진구 구의동 237-10,W84,37.542256532,127.085113570,
299,V02Q1940294,서울특별시 광진구 구의동 113,W84,37.548160591,127.089682707,
300,V02Q1940392,서울특별시 광진구 구의동 217-16,W84,37.538286643,127.092396830,
301,V02Q1940371,서울특별시 광진구 광장동 248-23,W84,37.546677593,127.103453692,
302,V02Q1940403,서울특별시 광진구 자양동 630,W84,37.534309074,127.081985567,
303,V02Q1940391,서울특별시 광진구 자양동 668,W84,37.528616803,127.085121222,
304,V02Q1940393,서울특별시 광진구 자양동 520-2,W84,37.533488262,127.073006117,
305,V02Q1940383,서울특별시 광진구 자양동 831-1,W84,37.533285662,127.065647463,
306,V02Q1940204,서울특별시 광진구 화양동 111-140,W84,37.546696348,127.072036473,
307,V02Q1940134,서울특별시 광진구 군자동 55-1,W84,37.555797885,127.075819699,
308,V02Q1940411,서울특별시 광진구 구의동 607,W84,37.533878243,127.091521000,
309,V02Q1940387,서울특별시 광진구 화양동 4-20,W84,37.540054044,127.070979283,
310,V02Q1940416,서울특별시 광진구 구의동 617-45,W84,37.547768223,127.086373575,
311,V02Q1940888,서울특별시 광진구 중곡동 265-5,W84,37.563073533,127.081994745,
312,V02Q1940860,서울특별시 광진구 자양동 720,W84,37.533442403,127.080963254,
313,V02Q1940506,서울특별시 광진구 구의동 546-11,W84,37.535089673,127.093220689,
314,V02Q1940779,서울특별시 광진구 구의동 164,W84,37.544958729,127.094304750,
315,V02Q1940815,서울특별시 광진구 자양동 427-28,W84,37.529991554,127.071004875,
316,V02Q1940812,서울특별시 광진구 자양동 97-5,W84,37.549837884,127.110488168,
